Year,Gender,AgeGroupStart,avg_mx_5yr_band
1933,Female,0,0.014645150250817548
1933,Male,0,0.018014299856012998
1934,Female,0,0.01614897976114902
1934,Male,0,0.020033041848351606
1935,Female,0,0.014162895535916
1935,Male,0,0.01781539101029373
1936,Female,0,0.014458933180819538
1936,Male,0,0.017963470156361426
1937,Female,0,0.014112516875076031
1937,Male,0,0.017536881674887293
1938,Female,0,0.013094305008128911
1938,Male,0,0.0163005794117126
1939,Female,0,0.011758261078092566
1939,Male,0,0.01470630942692247
1940,Female,0,0.011679671360876167
1940,Male,0,0.014848518657311549
1941,Female,0,0.011364127178746613
1941,Male,0,0.014136049266500708
1942,Female,0,0.01039955349636378
1942,Male,0,0.012982341795261584
1943,Female,0,0.009563641184696516
1943,Male,0,0.012049575238430716
1944,Female,0,0.00947127060771484
1944,Male,0,0.011771787256608877
1945,Female,0,0.008919117649763188
1945,Male,0,0.011262861899878896
1946,Female,0,0.009379191951241511
1946,Male,0,0.012011864407713485
1947,Female,0,0.0072013331857613185
1947,Male,0,0.009207113765289265
1948,Female,0,0.007330296231038816
1948,Male,0,0.009377813659267584
1949,Female,0,0.007178777717681287
1949,Male,0,0.009201454048740914
1950,Female,0,0.006707189826337602
1950,Male,0,0.008647580491039513
1951,Female,0,0.006606441515184441
1951,Male,0,0.00853295302530353
1952,Female,0,0.006611703327316297
1952,Male,0,0.008444425190550057
1953,Female,0,0.006254411897941292
1953,Male,0,0.008079440675220064
1954,Female,0,0.005920800966307758
1954,Male,0,0.007631048160220875
1955,Female,0,0.005755145631342358
1955,Male,0,0.007399802922680661
1956,Female,0,0.005661775030485849
1956,Male,0,0.007338318176993592
1957,Female,0,0.005670569564145352
1957,Male,0,0.007257065822182952
1958,Female,0,0.005715562917502436
1958,Male,0,0.007257652386175065
1959,Female,0,0.005523901052382307
1959,Female,5,0.00040884400222188116
1959,Female,10,0.0003299910621598782
1959,Female,15,0.0005510718438788142
1959,Female,20,0.0007089938486100026
1959,Female,25,0.000880786700912988
1959,Female,30,0.0012490401316379736
1959,Female,35,0.0017837206862782965
1959,Female,40,0.0027275497045633904
1959,Female,45,0.004195405944854046
1959,Female,50,0.00641285468228765
1959,Female,55,0.00949894442148682
1959,Female,60,0.014591809469849278
1959,Female,65,0.022845382351883194
1959,Female,70,0.03671504252385494
1959,Female,75,0.06182248344121666
1959,Female,80,0.10699909139701065
1959,Male,0,0.007122458035435017
1959,Male,5,0.0005709106119737138
1959,Male,10,0.0005936208689982035
1959,Male,15,0.0013311661670371891
1959,Male,20,0.00182780972839525
1959,Male,25,0.0017193289318157032
1959,Male,30,0.0020442871755310377
1959,Male,35,0.0028579064010537704
1959,Male,40,0.004571871917788442
1959,Male,45,0.007520971200478778
1959,Male,50,0.012316549883053814
1959,Male,55,0.018539999805010914
1959,Male,60,0.0280481593130817
1959,Male,65,0.04086513362110482
1959,Male,70,0.058205282493744806
1959,Male,75,0.08566608866361855
1959,Male,80,0.13471578979862123
1960,Female,0,0.005443085462325996
1960,Female,5,0.0004098570608714781
1960,Female,10,0.00032525951947989394
1960,Female,15,0.0005391302009294209
1960,Female,20,0.0006961848318372425
1960,Female,25,0.0008941868909802546
1960,Female,30,0.0012258626756022782
1960,Female,35,0.0018074261080753954
1960,Female,40,0.002817704309618468
1960,Female,45,0.0042515448313211555
1960,Female,50,0.00640220616651616
1960,Female,55,0.009361969435125425
1960,Female,60,0.014999577914208213
1960,Female,65,0.022623505394567377
1960,Female,70,0.03679839081026245
1960,Female,75,0.06132466704163617
1960,Female,80,0.10770864673953642
1960,Male,0,0.007099367045324503
1960,Male,5,0.000557166294419763
1960,Male,10,0.0005523319301406543
1960,Male,15,0.0013128117356517026
1960,Male,20,0.0017857457947988045
1960,Male,25,0.0017468982447997826
1960,Male,30,0.0020092657163346766
1960,Male,35,0.0028960982328651345
1960,Male,40,0.004620464628640262
1960,Male,45,0.007635365277273961
1960,Male,50,0.012516315360099534
1960,Male,55,0.01858638044719979
1960,Male,60,0.028739579733427233
1960,Male,65,0.04147964581119924
1960,Male,70,0.0598495901486253
1960,Male,75,0.08700023274821063
1960,Male,80,0.1370232750278078
1961,Female,0,0.005208433443676881
1961,Female,5,0.0003864020445987969
1961,Female,10,0.00030767228838110734
1961,Female,15,0.0005210000871974626
1961,Female,20,0.0006734613680987198
1961,Female,25,0.0008612825028157519
1961,Female,30,0.0012127267126406836
1961,Female,35,0.0017811748535949772
1961,Female,40,0.002702254961901772
1961,Female,45,0.004158387143899544
1961,Female,50,0.006297111190450346
1961,Female,55,0.008869192080217699
1961,Female,60,0.014592438047064593
1961,Female,65,0.021951918329176333
1961,Female,70,0.03552987425622935
1961,Female,75,0.059282789995577824
1961,Female,80,0.10264737608471186
1961,Male,0,0.006743237785207999
1961,Male,5,0.0005221901891538819
1961,Male,10,0.0005243532110486275
1961,Male,15,0.0012472640334004184
1961,Male,20,0.0017546457968731673
1961,Male,25,0.0016743668750812146
1961,Male,30,0.0019792742058498012
1961,Male,35,0.002825046746317197
1961,Male,40,0.004561922817488099
1961,Male,45,0.007364339864994787
1961,Male,50,0.0120782349161424
1961,Male,55,0.017925448026296382
1961,Male,60,0.02822075151536283
1961,Male,65,0.04090659474302809
1961,Male,70,0.05751095657822956
1961,Male,75,0.08529835077749756
1961,Male,80,0.13226810824541269
1962,Female,0,0.005173153238304334
1962,Female,5,0.0003926413146554993
1962,Female,10,0.0003063463391460193
1962,Female,15,0.0005330973489177708
1962,Female,20,0.0007035460893797226
1962,Female,25,0.0008874204741833652
1962,Female,30,0.0012158884533115524
1962,Female,35,0.0018384035622723738
1962,Female,40,0.002761378332686658
1962,Female,45,0.004221314913782501
1962,Female,50,0.006349340252514488
1962,Female,55,0.009019676163622961
1962,Female,60,0.014759194881478657
1962,Female,65,0.022094581029215667
1962,Female,70,0.03568544544866285
1962,Female,75,0.06018473412649479
1962,Female,80,0.10297154058589375
1962,Male,0,0.00671624280232235
1962,Male,5,0.0005132446177883176
1962,Male,10,0.0005293252193609062
1962,Male,15,0.0012605509072285326
1962,Male,20,0.0017878326996090522
1962,Male,25,0.001691946050746213
1962,Male,30,0.001999050126244629
1962,Male,35,0.0029060395399637022
1962,Male,40,0.004565686410087625
1962,Male,45,0.0074795582234474965
1962,Male,50,0.012293407376831043
1962,Male,55,0.018230690248600794
1962,Male,60,0.028559886072674668
1962,Male,65,0.041761237708717765
1962,Male,70,0.05861664841247647
1962,Male,75,0.08727879153113968
1962,Male,80,0.13265949463182417
1963,Female,0,0.005171964306347782
1963,Female,5,0.0003826984608487913
1963,Female,10,0.00031362644365598685
1963,Female,15,0.0005560390959595973
1963,Female,20,0.0007066578289607025
1963,Female,25,0.0008942643667148661
1963,Female,30,0.0012264018637675347
1963,Female,35,0.0018672914168600698
1963,Female,40,0.002797556880412166
1963,Female,45,0.0042746721515787576
1963,Female,50,0.006412339807668971
1963,Female,55,0.009174609817814677
1963,Female,60,0.014933172507782071
1963,Female,65,0.022094220801582975
1963,Female,70,0.03572771717969801
1963,Female,75,0.060582787109830984
1963,Female,80,0.1028848488505715
1963,Male,0,0.0067316455834130744
1963,Male,5,0.0005166405432430386
1963,Male,10,0.0005105932924262651
1963,Male,15,0.0012999197344183287
1963,Male,20,0.0018059503201829294
1963,Male,25,0.0017715917590055534
1963,Male,30,0.002042294387700983
1963,Male,35,0.002964766649978572
1963,Male,40,0.0046075343696244
1963,Male,45,0.007610156187559551
1963,Male,50,0.012380180811677743
1963,Male,55,0.018694650864525774
1963,Male,60,0.02923455288933898
1963,Male,65,0.04256868803918863
1963,Male,70,0.06041890271366075
1963,Male,75,0.08969174670428469
1963,Male,80,0.13519857448508826
1964,Female,0,0.005101510960719535
1964,Female,5,0.00037320198118622584
1964,Female,10,0.00030739995497896865
1964,Female,15,0.0005569078654314504
1964,Female,20,0.0007122301486869498
1964,Female,25,0.0008768921924873904
1964,Female,30,0.0012615104978596164
1964,Female,35,0.0018560399811847136
1964,Female,40,0.002771930102490944
1964,Female,45,0.004222056053870747
1964,Female,50,0.006464331486256476
1964,Female,55,0.008906987763754648
1964,Female,60,0.014565398230366382
1964,Female,65,0.021456904843704584
1964,Female,70,0.03413018640592056
1964,Female,75,0.058154998382115075
1964,Female,80,0.0983931871793546
1964,Male,0,0.006565367615318843
1964,Male,5,0.0005151652588073058
1964,Male,10,0.000525543418574877
1964,Male,15,0.001368308771133615
1964,Male,20,0.001836367032261982
1964,Male,25,0.0018097987010469098
1964,Male,30,0.002137018188362761
1964,Male,35,0.0029990211905523696
1964,Male,40,0.004683658245634366
1964,Male,45,0.007514895328144064
1964,Male,50,0.012190547783028215
1964,Male,55,0.018288708523646745
1964,Male,60,0.029154168860824548
1964,Male,65,0.041212334048006775
1964,Male,70,0.05859873720223378
1964,Male,75,0.08702593890043742
1964,Male,80,0.13012110902595048
1965,Female,0,0.0049593267322717675
1965,Female,5,0.00036774884337681363
1965,Female,10,0.00029813144680742546
1965,Female,15,0.0005446932534413439
1965,Female,20,0.0007046828592478201
1965,Female,25,0.0008595030545861776
1965,Female,30,0.0012596946441895192
1965,Female,35,0.00184681301178778
1965,Female,40,0.002798175703110722
1965,Female,45,0.0042776598407705795
1965,Female,50,0.006366042654654666
1965,Female,55,0.008866400686649787
1965,Female,60,0.014276084504019348
1965,Female,65,0.021450822810175223
1965,Female,70,0.033430033106453386
1965,Female,75,0.0580405762552467
1965,Female,80,0.09713610666908243
1965,Male,0,0.006413713684813434
1965,Male,5,0.0005076177279085733
1965,Male,10,0.0005121754821946405
1965,Male,15,0.0013863624580300426
1965,Male,20,0.0018499958816704438
1965,Male,25,0.0018435443133007975
1965,Male,30,0.002109130390613356
1965,Male,35,0.003018319125189222
1965,Male,40,0.004661595590714369
1965,Male,45,0.007511390397640977
1965,Male,50,0.012311070212823651
1965,Male,55,0.018326337276792108
1965,Male,60,0.029261888438023315
1965,Male,65,0.04161343863908522
1965,Male,70,0.05882191493932305
1965,Male,75,0.08837553878287055
1965,Male,80,0.1312373055138362
1966,Female,0,0.004874879867448579
1966,Female,5,0.0003708928201050882
1966,Female,10,0.0003044067979561106
1966,Female,15,0.0005837393988532937
1966,Female,20,0.0007124451261062538
1966,Female,25,0.0008736749198495148
1966,Female,30,0.0012567427923032824
1966,Female,35,0.0018114186244948573
1966,Female,40,0.002797538298564603
1966,Female,45,0.00429557607314824
1966,Female,50,0.006327721768812205
1966,Female,55,0.008889496766278074
1966,Female,60,0.013901657888453284
1966,Female,65,0.021519536730620424
1966,Female,70,0.03395733324518861
1966,Female,75,0.05810731247634297
1966,Female,80,0.09634072350082892
1966,Male,0,0.006278140482850072
1966,Male,5,0.0005127539259552041
1966,Male,10,0.0005177726744392192
1966,Male,15,0.001454449168472417
1966,Male,20,0.0019889626588479687
1966,Male,25,0.001883144206576829
1966,Male,30,0.002164986425953421
1966,Male,35,0.0030446936353890224
1966,Male,40,0.004744427078206419
1966,Male,45,0.007629371804284373
1966,Male,50,0.012364634755629312
1966,Male,55,0.018694290113295826
1966,Male,60,0.02922815235217215
1966,Male,65,0.041904783425018986
1966,Male,70,0.05984815548995835
1966,Male,75,0.08886169632989782
1966,Male,80,0.1310707238413092
1967,Female,0,0.004609834985842906
1967,Female,5,0.0003588537725681011
1967,Female,10,0.00029801468955583884
1967,Female,15,0.0005815975706438658
1967,Female,20,0.0007161845162880602
1967,Female,25,0.0008439107148852144
1967,Female,30,0.0012073996734900485
1967,Female,35,0.0018333585706629234
1967,Female,40,0.002736163862420468
1967,Female,45,0.004237008640280709
1967,Female,50,0.0062258589836584775
1967,Female,55,0.008882223669213596
1967,Female,60,0.013519878161248684
1967,Female,65,0.021044783632719628
1967,Female,70,0.032978577808022394
1967,Female,75,0.05607209229139408
1967,Female,80,0.09267584892065332
1967,Male,0,0.005980660339291497
1967,Male,5,0.0004968193636477466
1967,Male,10,0.0005114666712307039
1967,Male,15,0.001475760467220983
1967,Male,20,0.0020450762956477206
1967,Male,25,0.0019223612992006422
1967,Male,30,0.0021836283135006525
1967,Male,35,0.003092564224354742
1967,Male,40,0.004713801319586863
1967,Male,45,0.0075580744935306145
1967,Male,50,0.012098298465208528
1967,Male,55,0.01843704105489332
1967,Male,60,0.02860920018897465
1967,Male,65,0.040895408498072855
1967,Male,70,0.05967509041285117
1967,Male,75,0.08746573872708434
1967,Male,80,0.12755113241807542
1968,Female,0,0.004569683848045721
1968,Female,5,0.0003670378713882466
1968,Female,10,0.0003024602096172582
1968,Female,15,0.0006057468499529393
1968,Female,20,0.0007363990988475573
1968,Female,25,0.0008696847005608953
1968,Female,30,0.0012170016341987323
1968,Female,35,0.0018704584164647236
1968,Female,40,0.0028462302625676178
1968,Female,45,0.004345343551246591
1968,Female,50,0.006357890794547745
1968,Female,55,0.009182326841817879
1968,Female,60,0.013824389554835646
1968,Female,65,0.02153772678031054
1968,Female,70,0.033591448195607346
1968,Female,75,0.05738570263463762
1968,Female,80,0.09480690337338844
1968,Male,0,0.005922644443768313
1968,Male,5,0.0005204208118824164
1968,Male,10,0.0005286468116358987
1968,Male,15,0.0015708233293980378
1968,Male,20,0.0021855959405219427
1968,Male,25,0.0020240412532855218
1968,Male,30,0.002282315727621863
1968,Male,35,0.0031828945837231856
1968,Male,40,0.004863182443737646
1968,Male,45,0.007758501594627867
1968,Male,50,0.012299243830241322
1968,Male,55,0.018960885118310816
1968,Male,60,0.02929044067877653
1968,Male,65,0.04246132198179528
1968,Male,70,0.061877190678691
1968,Male,75,0.08999966264184685
1968,Male,80,0.13030457993960606
1969,Female,0,0.0044570748272960295
1969,Female,5,0.0003598603632723615
1969,Female,10,0.00031030217571074157
1969,Female,15,0.0006338028324150099
1969,Female,20,0.0007505708453819871
1969,Female,25,0.0008625178676932131
1969,Female,30,0.001227100847051104
1969,Female,35,0.0018625112765763164
1969,Female,40,0.002825175299736537
1969,Female,45,0.00421714918063895
1969,Female,50,0.0061594703936226815
1969,Female,55,0.009047407328020693
1969,Female,60,0.013242194174228228
1969,Female,65,0.021020827882851867
1969,Female,70,0.03296943886272091
1969,Female,75,0.055054900601490854
1969,Female,80,0.09240427363668709
1969,Male,0,0.005740590389986122
1969,Male,5,0.0005181972289960342
1969,Male,10,0.0005151239981398255
1969,Male,15,0.0016565033939267251
1969,Male,20,0.0022721415952071094
1969,Male,25,0.0020764947384129735
1969,Male,30,0.0022933250872844285
1969,Male,35,0.0032147440807861493
1969,Male,40,0.0049180676615112094
1969,Male,45,0.007668263128735435
1969,Male,50,0.011953471971285143
1969,Male,55,0.018714389325402002
1969,Male,60,0.028268659293401575
1969,Male,65,0.041921029309913524
1969,Male,70,0.06036444673614829
1969,Male,75,0.08768265697100358
1969,Male,80,0.12903586700487615
1970,Female,0,0.004310476341603063
1970,Female,5,0.0003445947341095993
1970,Female,10,0.0002944445268321938
1970,Female,15,0.0006146237268433207
1970,Female,20,0.0007458421808918733
1970,Female,25,0.0008726735524024328
1970,Female,30,0.0011763499809690696
1970,Female,35,0.001836281626448005
1970,Female,40,0.0027560048684718346
1970,Female,45,0.0042243271985123124
1970,Female,50,0.006203241805554267
1970,Female,55,0.009069920653149627
1970,Female,60,0.013156708115441682
1970,Female,65,0.02046573229735032
1970,Female,70,0.03268972280360738
1970,Female,75,0.05414890450262333
1970,Female,80,0.08914843058758148
1970,Male,0,0.005533810056426257
1970,Male,5,0.0004997311958587558
1970,Male,10,0.0005128189697173571
1970,Male,15,0.001585035187237488
1970,Male,20,0.002227167418175908
1970,Male,25,0.0020076477439117503
1970,Male,30,0.002290807165182992
1970,Male,35,0.0031445530419143075
1970,Male,40,0.004852676966051832
1970,Male,45,0.007562566887439638
1970,Male,50,0.011817344181677718
1970,Male,55,0.018613182299176894
1970,Male,60,0.027935706840100032
1970,Male,65,0.04130473416082709
1970,Male,70,0.05944634710715342
1970,Male,75,0.08752012929372717
1970,Male,80,0.12654361293810873
1971,Female,0,0.0038744981318442812
1971,Female,5,0.00035070925813658014
1971,Female,10,0.00030034747245211423
1971,Female,15,0.0006228984150561616
1971,Female,20,0.0007282949302198704
1971,Female,25,0.0008691668547233831
1971,Female,30,0.0011688787068914598
1971,Female,35,0.0017660522823705481
1971,Female,40,0.0027362932549085906
1971,Female,45,0.004111614732896397
1971,Female,50,0.006055175592169006
1971,Female,55,0.008850076753184478
1971,Female,60,0.013001931693662289
1971,Female,65,0.019694220341635746
1971,Female,70,0.03212086230267343
1971,Female,75,0.05268763509694455
1971,Female,80,0.08687109319278373
1971,Male,0,0.004965628569446046
1971,Male,5,0.0004938868356804189
1971,Male,10,0.0004945131096251141
1971,Male,15,0.0015889059251833287
1971,Male,20,0.0021841046444422813
1971,Male,25,0.002041070126497575
1971,Male,30,0.0022446042363608305
1971,Male,35,0.0031225050881579174
1971,Male,40,0.004662562216186636
1971,Male,45,0.007356999438328125
1971,Male,50,0.01150253564925329
1971,Male,55,0.018119040244639034
1971,Male,60,0.02726033777231674
1971,Male,65,0.04023980339515579
1971,Male,70,0.05890891004269931
1971,Male,75,0.08632673185163349
1971,Male,80,0.12419169747866392
1972,Female,0,0.0037153715159851442
1972,Female,5,0.00034903090881312486
1972,Female,10,0.00029958989054214324
1972,Female,15,0.0006120661005459319
1972,Female,20,0.0007345767361418851
1972,Female,25,0.0008290734106245771
1972,Female,30,0.001154919735947332
1972,Female,35,0.0017229039988367189
1972,Female,40,0.002686413236310011
1972,Female,45,0.004103073476126357
1972,Female,50,0.005864193816794501
1972,Female,55,0.008833812989682029
1972,Female,60,0.012843686041604513
1972,Female,65,0.019871827828841854
1972,Female,70,0.03266315602609792
1972,Female,75,0.052538846849088126
1972,Female,80,0.08532805179979089
1972,Male,0,0.004821230393533465
1972,Male,5,0.0004690234635369763
1972,Male,10,0.000503568017894687
1972,Male,15,0.0016003810170606726
1972,Male,20,0.0021939878640523285
1972,Male,25,0.0020007539374020744
1972,Male,30,0.0022428497457017407
1972,Male,35,0.0030422186045918585
1972,Male,40,0.004624839556039808
1972,Male,45,0.007496773960407549
1972,Male,50,0.01145700128009738
1972,Male,55,0.018106593381085324
1972,Male,60,0.027479328800354908
1972,Male,65,0.04027242504754838
1972,Male,70,0.06038548406690721
1972,Male,75,0.0873301874385941
1972,Male,80,0.12447121636178134
1973,Female,0,0.0036445508330901267
1973,Female,5,0.0003433320805629605
1973,Female,10,0.00028954740304353987
1973,Female,15,0.0006086663554249051
1973,Female,20,0.0007165175342998159
1973,Female,25,0.0008101684777594298
1973,Female,30,0.0011045315778990428
1973,Female,35,0.001701083017424994
1973,Female,40,0.0026066005861081695
1973,Female,45,0.004032209474746621
1973,Female,50,0.005823036742114096
1973,Female,55,0.008832453988105934
1973,Female,60,0.012717133301894102
1973,Female,65,0.019102897291999703
1973,Female,70,0.03164976584201619
1973,Female,75,0.05169282416987908
1973,Female,80,0.08319999549696373
1973,Male,0,0.004713914215769452
1973,Male,5,0.00048166161644450453
1973,Male,10,0.0005105649897587818
1973,Male,15,0.0016141479720330604
1973,Male,20,0.0021991209735087577
1973,Male,25,0.0020495021426576348
1973,Male,30,0.0022281628768926537
1973,Male,35,0.0030426104790913858
1973,Male,40,0.004520750774395739
1973,Male,45,0.007331841597513186
1973,Male,50,0.011089479810629398
1973,Male,55,0.017796338990353537
1973,Male,60,0.026867048776154794
1973,Male,65,0.03961209655001812
1973,Male,70,0.05920273817629833
1973,Male,75,0.08605585872894685
1973,Male,80,0.12286906184591355
1974,Female,0,0.003531855692036405
1974,Female,5,0.00030073964229045515
1974,Female,10,0.0002785777982957498
1974,Female,15,0.0005569852528944233
1974,Female,20,0.0006722735246940942
1974,Female,25,0.0007787388932824147
1974,Female,30,0.0010354463357553092
1974,Female,35,0.0015587011318210124
1974,Female,40,0.0025050864394902646
1974,Female,45,0.003819765147539586
1974,Female,50,0.005616423180047405
1974,Female,55,0.008373088092791489
1974,Female,60,0.012461315613608205
1974,Female,65,0.018305721289805316
1974,Female,70,0.030830959925142398
1974,Female,75,0.048872284528720916
1974,Female,80,0.08054619803502015
1974,Male,0,0.0045264451540077705
1974,Male,5,0.0004436736284128287
1974,Male,10,0.0004811386125805858
1974,Male,15,0.0015370279635964902
1974,Male,20,0.0020885753717079293
1974,Male,25,0.0019392580636956968
1974,Male,30,0.002134924106659106
1974,Male,35,0.002847375902032384
1974,Male,40,0.004294280391937922
1974,Male,45,0.007090084850009931
1974,Male,50,0.010765678576038856
1974,Male,55,0.01694270258134644
1974,Male,60,0.025766175996138597
1974,Male,65,0.038229844564088
1974,Male,70,0.05779781767457727
1974,Male,75,0.08231813736458404
1974,Male,80,0.11908944936676806
1975,Female,0,0.0033344262834521673
1975,Female,5,0.00028644480449218913
1975,Female,10,0.00025217525480060205
1975,Female,15,0.0005380017412671661
1975,Female,20,0.0006627359263754193
1975,Female,25,0.0007355072319296394
1975,Female,30,0.0009671691285368679
1975,Female,35,0.0014707893220949034
1975,Female,40,0.0023772031966617013
1975,Female,45,0.0036520645960095217
1975,Female,50,0.0054323045239585135
1975,Female,55,0.008140778957628065
1975,Female,60,0.012016968659881912
1975,Female,65,0.01739852685696468
1975,Female,70,0.02965574325223188
1975,Female,75,0.04629797660233418
1975,Female,80,0.0766466779495805
1975,Male,0,0.004198928619730812
1975,Male,5,0.0004144618968777946
1975,Male,10,0.0004464605484489955
