Year,Gender,AgeGroupStart,avg_mx_5yr_band
1991,Male,35,0.0028023593191713837
1991,Male,40,0.003457725216907104
1991,Male,45,0.00496379174017521
1991,Male,50,0.007372527182605365
1991,Male,55,0.011915876948530794
1991,Male,60,0.018587926842531178
1991,Male,65,0.028210137161291636
1991,Male,70,0.04278470084681363
1991,Male,75,0.06462917614334822
1991,Male,80,0.10214945961588622
1991,Male,85,0.15503765349688858
1991,Male,90,0.23674248692340455
1991,Male,95,0.3398433296863369
1992,Female,0,0.0018741801063684488
1992,Female,5,0.00016813237238703994
1992,Female,10,0.00018209317939447186
1992,Female,15,0.0004374467518424035
1992,Female,20,0.000497200109329845
1992,Female,25,0.0006146289970293738
1992,Female,30,0.0008279130415764991
1992,Female,35,0.0011724786855911238
1992,Female,40,0.0016719453365852226
1992,Female,45,0.002574651824055758
1992,Female,50,0.004171796742947041
1992,Female,55,0.00669533256593422
1992,Female,60,0.010328277589155216
1992,Female,65,0.015814259272507066
1992,Female,70,0.024432358276873716
1992,Female,75,0.0374241118624257
1992,Female,80,0.06262971856502134
1992,Female,85,0.1055856026862471
1992,Female,90,0.17752901914282224
1992,Female,95,0.279669716026474
1992,Male,0,0.0023158366580869664
1992,Male,5,0.0002371883649436635
1992,Male,10,0.0003084887237676523
1992,Male,15,0.001213552430251338
1992,Male,20,0.001580625595338814
1992,Male,25,0.001745401808540184
1992,Male,30,0.0022123987006427612
1992,Male,35,0.002826016761937216
1992,Male,40,0.0036051549328625304
1992,Male,45,0.004905431394015894
1992,Male,50,0.00726452443059618
1992,Male,55,0.011573809882254937
1992,Male,60,0.0180549698259517
1992,Male,65,0.02782500019584158
1992,Male,70,0.041592101505329535
1992,Male,75,0.06312842172333308
1992,Male,80,0.09964343247750419
1992,Male,85,0.15303943002401796
1992,Male,90,0.2353851219188182
1992,Male,95,0.34241985086239773
1993,Female,0,0.0018520929558554558
1993,Female,5,0.0001891332645489969
1993,Female,10,0.00019157462289977074
1993,Female,15,0.0004514655873563558
1993,Female,20,0.000508204194642196
1993,Female,25,0.0006316644986582861
1993,Female,30,0.0008539876573222445
1993,Female,35,0.0012093199742600987
1993,Female,40,0.0017040626203884666
1993,Female,45,0.0026486170689136814
1993,Female,50,0.004177457861344555
1993,Female,55,0.006700871703653887
1993,Female,60,0.010509530458294286
1993,Female,65,0.015983604213055978
1993,Female,70,0.024690281033645053
1993,Female,75,0.03853631952352075
1993,Female,80,0.06443288026202718
1993,Female,85,0.1100023707395216
1993,Female,90,0.18351753819493194
1993,Female,95,0.2996821923314282
1993,Male,0,0.0022982914255960203
1993,Male,5,0.00023089228940737305
1993,Male,10,0.00031611549191354105
1993,Male,15,0.001245676568979804
1993,Male,20,0.0016294896321973774
1993,Male,25,0.0017524207976930928
1993,Male,30,0.002295692558990416
1993,Male,35,0.002895921547655446
1993,Male,40,0.0037260865176146477
1993,Male,45,0.004920684451695965
1993,Male,50,0.007333731739789989
1993,Male,55,0.011531005093700471
1993,Male,60,0.018125612519152436
1993,Male,65,0.027876255254562794
1993,Male,70,0.041687879119311634
1993,Male,75,0.0640679801474234
1993,Male,80,0.10207089759013424
1993,Male,85,0.15835373574850262
1993,Male,90,0.23784635923680222
1993,Male,95,0.35726801398123464
1994,Female,0,0.001794541214261675
1994,Female,5,0.00016862069711186955
1994,Female,10,0.00018602763363414004
1994,Female,15,0.0004434704507833726
1994,Female,20,0.0005067038913131024
1994,Female,25,0.0006353525340682785
1994,Female,30,0.0008717999308812223
1994,Female,35,0.0012398269891003718
1994,Female,40,0.0017159944418210081
1994,Female,45,0.002651183394936258
1994,Female,50,0.004152090370630683
1994,Female,55,0.0065364896336458965
1994,Female,60,0.010350996914159125
1994,Female,65,0.015805621346060988
1994,Female,70,0.024449646627844053
1994,Female,75,0.03805684202606366
1994,Female,80,0.06410749050415498
1994,Female,85,0.1090042530714714
1994,Female,90,0.17891002919270313
1994,Female,95,0.2950857948231156
1994,Male,0,0.002195086285892032
1994,Male,5,0.00022505922900960314
1994,Male,10,0.0003081235894307011
1994,Male,15,0.00125056156042163
1994,Male,20,0.0016162381405793712
1994,Male,25,0.0017217069074693448
1994,Male,30,0.002301357434711122
1994,Male,35,0.002915898600599467
1994,Male,40,0.0037887884630185345
1994,Male,45,0.004942184059384133
1994,Male,50,0.007337837697609031
1994,Male,55,0.011151514759982502
1994,Male,60,0.01785155204949585
1994,Male,65,0.027111161669013662
1994,Male,70,0.040873186957661456
1994,Male,75,0.061882924065712795
1994,Male,80,0.10012748454569058
1994,Male,85,0.1557370516865187
1994,Male,90,0.2312072965128987
1994,Male,95,0.35116440313457775
1995,Female,0,0.0016967707220924568
1995,Female,5,0.00016485121267901547
1995,Female,10,0.0001933065863489538
1995,Female,15,0.00045217283752939895
1995,Female,20,0.0004945439988477604
1995,Female,25,0.0006251889776463874
1995,Female,30,0.0008767455624156924
1995,Female,35,0.0012565042286659654
1995,Female,40,0.0017672440055682248
1995,Female,45,0.0025948078356023896
1995,Female,50,0.004122113900998521
1995,Female,55,0.006547345121129343
1995,Female,60,0.01035462398145998
1995,Female,65,0.01566217727769417
1995,Female,70,0.024314295283417116
1995,Female,75,0.03813218268995984
1995,Female,80,0.06376407817303048
1995,Female,85,0.11095818594593365
1995,Female,90,0.17916881261796425
1995,Female,95,0.29913905607808133
1995,Male,0,0.002076038117657749
1995,Male,5,0.00022228719213356643
1995,Male,10,0.00030569227633092243
1995,Male,15,0.001182176139224274
1995,Male,20,0.0015808485696634134
1995,Male,25,0.0016729002762409378
1995,Male,30,0.0022493814577524197
1995,Male,35,0.0028939582539542485
1995,Male,40,0.003799398497277665
1995,Male,45,0.004957908659795637
1995,Male,50,0.007208546653372787
1995,Male,55,0.011008731441245407
1995,Male,60,0.01748456450414456
1995,Male,65,0.02648317634312088
1995,Male,70,0.04030247729747128
1995,Male,75,0.0616075228081288
1995,Male,80,0.09886056792067326
1995,Male,85,0.15710118738137857
1995,Male,90,0.23008483957092224
1995,Male,95,0.3484502947189491
1996,Female,0,0.0016479464914993351
1996,Female,5,0.00016299670808796353
1996,Female,10,0.0001845693910243623
1996,Female,15,0.0004341899182632874
1996,Female,20,0.0004729441936776888
1996,Female,25,0.0005994152029107659
1996,Female,30,0.000834938894642493
1996,Female,35,0.0011987485932214222
1996,Female,40,0.0017237795232809012
1996,Female,45,0.0025346499109408895
1996,Female,50,0.004064647353843904
1996,Female,55,0.00637575207950869
1996,Female,60,0.010310332207133753
1996,Female,65,0.01543297988576176
1996,Female,70,0.024268982746223945
1996,Female,75,0.037980008605661655
1996,Female,80,0.06354298661325154
1996,Female,85,0.11004462032378699
1996,Female,90,0.18151840603906325
1996,Female,95,0.2929380557705232
1996,Male,0,0.0020040532147691742
1996,Male,5,0.00021588074431733083
1996,Male,10,0.00028152924463408993
1996,Male,15,0.0011048723300042778
1996,Male,20,0.0014977404061810476
1996,Male,25,0.0014835955344052513
1996,Male,30,0.0019241194672774558
1996,Male,35,0.0025407130359057766
1996,Male,40,0.0034723388193357483
1996,Male,45,0.00471213070090043
1996,Male,50,0.006931169817385577
1996,Male,55,0.010739979993629255
1996,Male,60,0.017290187168802873
1996,Male,65,0.02575085117923131
1996,Male,70,0.039843755586818505
1996,Male,75,0.06085654049772218
1996,Male,80,0.09746481557103248
1996,Male,85,0.1549153063706789
1996,Male,90,0.23225620407199016
1996,Male,95,0.3407214655256853
1997,Female,0,0.0015942192102854284
1997,Female,5,0.00016176090603244674
1997,Female,10,0.0001779855345252355
1997,Female,15,0.00042636223070608055
1997,Female,20,0.00048149175855928815
1997,Female,25,0.0005577463161600719
1997,Female,30,0.0007751196135369913
1997,Female,35,0.0011413244303156544
1997,Female,40,0.0016933321224683316
1997,Female,45,0.0024967221521208062
1997,Female,50,0.003927277370738792
1997,Female,55,0.006351738766993503
1997,Female,60,0.010134499603072705
1997,Female,65,0.015185740431083625
1997,Female,70,0.02400771937237115
1997,Female,75,0.03761214617389062
1997,Female,80,0.06275400362381704
1997,Female,85,0.10941869490874823
1997,Female,90,0.18279869403122187
1997,Female,95,0.2957976465974954
1997,Male,0,0.0019643647115467973
1997,Male,5,0.00019735576324157782
1997,Male,10,0.00027085674700877557
1997,Male,15,0.0010357126277068683
1997,Male,20,0.0014296514279549372
1997,Male,25,0.0013732984185480927
1997,Male,30,0.0016633060763255186
1997,Male,35,0.0022002763289579626
1997,Male,40,0.003149394749856716
1997,Male,45,0.004531569187911843
1997,Male,50,0.006597197823601142
1997,Male,55,0.010388143970301378
1997,Male,60,0.016589720072826896
1997,Male,65,0.02525670937684717
1997,Male,70,0.039272885381744296
1997,Male,75,0.05985010966397464
1997,Male,80,0.09571574122400027
1997,Male,85,0.15411246198676587
1997,Male,90,0.2324369268192116
1997,Male,95,0.3329709422348238
1998,Female,0,0.0016234654237773233
1998,Female,5,0.00014934352093818443
1998,Female,10,0.0001673854495490634
1998,Female,15,0.00040217234412351594
1998,Female,20,0.0004537930533783355
1998,Female,25,0.0005342710019835236
1998,Female,30,0.0007662494970991321
1998,Female,35,0.0011481147007220186
1998,Female,40,0.0016898965158009412
1998,Female,45,0.0024487843401496978
1998,Female,50,0.003836750756022212
1998,Female,55,0.006176851916657849
1998,Female,60,0.009883210951221735
1998,Female,65,0.015225621593355599
1998,Female,70,0.02406399456191475
1998,Female,75,0.03743468889621222
1998,Female,80,0.06352079683268243
1998,Female,85,0.10969576469170399
1998,Female,90,0.18375312782803427
1998,Female,95,0.2955730764772234
1998,Male,0,0.001937694506948982
1998,Male,5,0.00019436713968569636
1998,Male,10,0.00026121112862796897
1998,Male,15,0.0009744070066920248
1998,Male,20,0.0013820473746261846
1998,Male,25,0.0012916460816112258
1998,Male,30,0.0015474729391219415
1998,Male,35,0.0021050072342987045
1998,Male,40,0.0030813269307279146
1998,Male,45,0.004459360123122179
1998,Male,50,0.006455664581161045
1998,Male,55,0.01015395325952188
1998,Male,60,0.016134857956495656
1998,Male,65,0.024810611891653435
1998,Male,70,0.03865657726519145
1998,Male,75,0.058915445513212684
1998,Male,80,0.095213936547396
1998,Male,85,0.15170047617847104
1998,Male,90,0.22985781038710104
1998,Male,95,0.3266268375261144
1999,Female,0,0.0015714247708422022
1999,Female,5,0.0001505009474620027
1999,Female,10,0.00016185001686960397
1999,Female,15,0.00040891734213939176
1999,Female,20,0.0004666482217799891
1999,Female,25,0.0005305235128557037
1999,Female,30,0.00074283151450097
1999,Female,35,0.0011430475234851033
1999,Female,40,0.001704910655771072
1999,Female,45,0.0024959027135298822
1999,Female,50,0.003826381386857848
1999,Female,55,0.006194560332050679
1999,Female,60,0.009810885394223404
1999,Female,65,0.01538494865986097
1999,Female,70,0.023853836171308852
1999,Female,75,0.03815464646667461
1999,Female,80,0.06420207197666196
1999,Female,85,0.11213852860523317
1999,Female,90,0.1910947832850999
1999,Female,95,0.30512942984104124
1999,Male,0,0.0019151418032035696
1999,Male,5,0.00018649510647603283
1999,Male,10,0.00024447134002705687
1999,Male,15,0.0009449949591664302
1999,Male,20,0.0013315640244763141
1999,Male,25,0.0012673876887735584
1999,Male,30,0.0015184467874471209
1999,Male,35,0.002076146954948126
1999,Male,40,0.003054092689644649
1999,Male,45,0.004503875204620234
1999,Male,50,0.0064345347070295916
1999,Male,55,0.01015818469440893
1999,Male,60,0.015710401900160258
1999,Male,65,0.024459658190700263
1999,Male,70,0.03811012523855416
1999,Male,75,0.05892106151997274
1999,Male,80,0.09461540311106639
1999,Male,85,0.15359305598565465
1999,Male,90,0.2340890215626076
1999,Male,95,0.32811321675634486
2000,Female,0,0.0015405383309922255
2000,Female,5,0.00014089002303516364
2000,Female,10,0.00016081903736332826
2000,Female,15,0.0003920829118324983
2000,Female,20,0.0004673549799850172
2000,Female,25,0.000529715032184407
2000,Female,30,0.0007366837852544551
2000,Female,35,0.0011325414414024367
2000,Female,40,0.0017318600573385892
2000,Female,45,0.0025160900059751183
2000,Female,50,0.003812151175870806
2000,Female,55,0.006087891128069808
2000,Female,60,0.009746269283527464
2000,Female,65,0.015219754407314406
2000,Female,70,0.023512752456592956
2000,Female,75,0.03782419750032268
2000,Female,80,0.06377963865606515
2000,Male,0,0.0018822820086659225
2000,Male,5,0.00017667330232967819
2000,Male,10,0.00024250497525248778
2000,Male,15,0.0009272597556053894
2000,Male,20,0.0013692929729362722
2000,Male,25,0.0012935104318447708
2000,Male,30,0.001480741295173648
2000,Male,35,0.0020571427233397133
2000,Male,40,0.0030601905314741593
2000,Male,45,0.004558498595240783
2000,Male,50,0.006409898153775665
2000,Male,55,0.009913056446823965
2000,Male,60,0.015388370313197878
2000,Male,65,0.023743225359859316
2000,Male,70,0.03695066158212999
2000,Male,75,0.05741429045336359
2000,Male,80,0.09247362798035419
2001,Female,0,0.0014680239036368322
2001,Female,5,0.00013892458702073737
2001,Female,10,0.00015328822434743203
2001,Female,15,0.0003825582582001699
2001,Female,20,0.0004656207361518277
2001,Female,25,0.0005582776829521728
2001,Female,30,0.0007548322649133514
2001,Female,35,0.0011769006738640096
2001,Female,40,0.0017711887473276355
2001,Female,45,0.002591452044493318
2001,Female,50,0.0037871442234655183
2001,Female,55,0.00608502506810024
2001,Female,60,0.009565836321041332
2001,Female,65,0.014884992233379083
2001,Female,70,0.02313295262827528
2001,Female,75,0.037367542069003196
2001,Female,80,0.06324500391482432
2001,Male,0,0.0018067930655256126
2001,Male,5,0.00016730140293325468
2001,Male,10,0.00022862456209697598
2001,Male,15,0.0009244468200866716
2001,Male,20,0.00140751985894758
2001,Male,25,0.0013664928695609094
2001,Male,30,0.0015188607402132888
2001,Male,35,0.0021340028668216287
2001,Male,40,0.003049505674789284
2001,Male,45,0.004590314811863901
2001,Male,50,0.006376020026803905
2001,Male,55,0.009772521495644095
2001,Male,60,0.015035031350598263
2001,Male,65,0.02320448395309599
2001,Male,70,0.0358588035738062
2001,Male,75,0.05630433030598244
2001,Male,80,0.09034822082696894
2002,Female,0,0.0014898032130983181
2002,Female,5,0.0001358610419271316
2002,Female,10,0.00015833691647059808
2002,Female,15,0.00039762266849098347
2002,Female,20,0.0004701952553213252
2002,Female,25,0.0005412916147829865
2002,Female,30,0.0007422157560734919
2002,Female,35,0.0011593595557909844
2002,Female,40,0.001806941977215444
2002,Female,45,0.0026385225507262254
2002,Female,50,0.00380350666408842
2002,Female,55,0.005914464636931419
2002,Female,60,0.009377062813952303
2002,Female,65,0.014588555508898631
2002,Female,70,0.02291431386460919
2002,Female,75,0.03698822998308572
2002,Female,80,0.06301019611635343
2002,Male,0,0.0018390970691745331
2002,Male,5,0.0001676096515519111
2002,Male,10,0.00022969815099418614
2002,Male,15,0.0009244855239955724
2002,Male,20,0.0014112383383932511
2002,Male,25,0.0013722988589208603
2002,Male,30,0.0015210853678701915
2002,Male,35,0.0020771754250112533
2002,Male,40,0.0030833271817096173
2002,Male,45,0.004577114020379323
2002,Male,50,0.006564103770562227
2002,Male,55,0.009625800583568354
2002,Male,60,0.014906968830634535
2002,Male,65,0.02263074227832556
2002,Male,70,0.03519081179387416
2002,Male,75,0.05531832146698956
2002,Male,80,0.08921439751875267
2003,Female,0,0.001471416295588327
2003,Female,5,0.0001311781884370093
2003,Female,10,0.0001479233039088003
2003,Female,15,0.00038598876845667186
2003,Female,20,0.0004964701442092656
2003,Female,25,0.0005599822640205664
2003,Female,30,0.0007329715029934074
2003,Female,35,0.0011481766269430455
2003,Female,40,0.0017929874658537538
2003,Female,45,0.002642673268244535
2003,Female,50,0.003808436042491586
2003,Female,55,0.0058944027908191836
2003,Female,60,0.00934397963259316
2003,Female,65,0.014263263370170753
2003,Female,70,0.022471561884372153
2003,Female,75,0.03635298768261798
2003,Female,80,0.06171265529427633
2003,Male,0,0.001846603797804193
2003,Male,5,0.00016364096263840144
2003,Male,10,0.00022890717064825088
2003,Male,15,0.0009056425581857902
2003,Male,20,0.0014255712134578287
2003,Male,25,0.0013779748817348216
2003,Male,30,0.0015124332348423937
2003,Male,35,0.0020408090063481895
2003,Male,40,0.0030582647895676524
2003,Male,45,0.004606658008235642
2003,Male,50,0.006610291437317685
2003,Male,55,0.00955592876461641
2003,Male,60,0.014653375617803938
2003,Male,65,0.02209296484292844
2003,Male,70,0.033983399324990206
2003,Male,75,0.054007448759219
2003,Male,80,0.0873912584162525
2004,Female,0,0.0014672936830932126
2004,Female,5,0.0001310580891574011
2004,Female,10,0.0001518538255731498
2004,Female,15,0.0003936631997922831
2004,Female,20,0.0004715696463539603
2004,Female,25,0.0005512357624713635
2004,Female,30,0.0007212136801294682
2004,Female,35,0.0010920227225705858
2004,Female,40,0.0017475360297166819
2004,Female,45,0.002633171517465088
2004,Female,50,0.0037230538682118605
2004,Female,55,0.005672090299108673
2004,Female,60,0.008960480400170653
2004,Female,65,0.013746304866541954
2004,Female,70,0.02178641367452988
2004,Female,75,0.03496158445039688
2004,Female,80,0.05945009043557915
2004,Male,0,0.001794728892538964
2004,Male,5,0.00016553266360764624
2004,Male,10,0.00021337619692334814
2004,Male,15,0.0008910967300808433
2004,Male,20,0.0013991223365402913
2004,Male,25,0.001407355563501207
2004,Male,30,0.0014584597866815312
2004,Male,35,0.0019613113919418326
2004,Male,40,0.002917511881615282
2004,Male,45,0.004467828340407704
2004,Male,50,0.006570746844871911
2004,Male,55,0.009228062921854551
2004,Male,60,0.014108262997491591
2004,Male,65,0.021060633446911482
2004,Male,70,0.03238339045722709
2004,Male,75,0.05155693521831112
2004,Male,80,0.08384824651966569
2005,Female,0,0.0014751983603804183
2005,Female,5,0.00013519448518008957
2005,Female,10,0.00014151747152473513
2005,Female,15,0.00036756554517570345
2005,Female,20,0.0004802633329578085
2005,Female,25,0.0005501415289113976
2005,Female,30,0.000741315789877261
2005,Female,35,0.0010966741837634723
2005,Female,40,0.0017497640656879588
2005,Female,45,0.0026580924817604327
2005,Female,50,0.0038115586335027126
2005,Female,55,0.005555162247443207
2005,Female,60,0.00887009037393208
2005,Female,65,0.013589872718665307
2005,Female,70,0.02160024775734501
2005,Female,75,0.03483756028715709
2005,Female,80,0.05958207195921308
2005,Male,0,0.0018370589404307779
2005,Male,5,0.0001570618047085622
2005,Male,10,0.00021018799896901493
2005,Male,15,0.0008993553072059963
2005,Male,20,0.0014554115505489705
2005,Male,25,0.0014489466409261533
2005,Male,30,0.001518888641986185
2005,Male,35,0.0019304544612668475
2005,Male,40,0.0029582571671395675
2005,Male,45,0.0044713324239661015
2005,Male,50,0.006671195849575724
2005,Male,55,0.009278722906652567
2005,Male,60,0.014050873902738115
2005,Male,65,0.020629443137423438
2005,Male,70,0.03233540923729824
2005,Male,75,0.05088487994597109
2005,Male,80,0.08337000654747978
2006,Female,0,0.0014852028518971185
2006,Female,5,0.00012363521141509748
2006,Female,10,0.00013014092725818755
2006,Female,15,0.00036192904323804177
2006,Female,20,0.0004878684067726311
2006,Female,25,0.0005727556955307334
2006,Female,30,0.0007321007409946637
2006,Female,35,0.0010873275431221568
2006,Female,40,0.0017311174895719861
2006,Female,45,0.002632681687840693
2006,Female,50,0.0037840807124498096
2006,Female,55,0.005460788169604181
2006,Female,60,0.008631102813878293
2006,Female,65,0.013136295895286037
2006,Female,70,0.020955182798570747
2006,Female,75,0.0337910551334995
2006,Female,80,0.05755296535679151
2006,Male,0,0.001797125043863213
2006,Male,5,0.00015482362478655523
2006,Male,10,0.00019176609129730368
2006,Male,15,0.0008900494769320394
2006,Male,20,0.0014963886530158204
2006,Male,25,0.0015036580987210061
2006,Male,30,0.0015500158782191015
2006,Male,35,0.0019316273488796869
2006,Male,40,0.0028878165761033504
2006,Male,45,0.004381556353596022
2006,Male,50,0.006602226068833245
2006,Male,55,0.009130102119693985
2006,Male,60,0.013590063307751577
2006,Male,65,0.020127591177666996
2006,Male,70,0.030826414771692956
2006,Male,75,0.04900069072021028
2006,Male,80,0.08076550568690337
2007,Female,0,0.001479566824093138
2007,Female,5,0.00012346774573926075
2007,Female,10,0.00013441758995425945
2007,Female,15,0.00034886579387487487
2007,Female,20,0.0004795624853638163
2007,Female,25,0.0005713040715753375
2007,Female,30,0.0007275579415309136
2007,Female,35,0.0010608114253178266
2007,Female,40,0.0016619429307769458
2007,Female,45,0.0025859804561432615
2007,Female,50,0.003752494132072065
2007,Female,55,0.005366913432810103
2007,Female,60,0.008289256310275796
2007,Female,65,0.012882619442743649
2007,Female,70,0.020335648171409277
2007,Female,75,0.033129015847670924
2007,Female,80,0.05623093059444799
2007,Male,0,0.001795711603074451
2007,Male,5,0.0001506798248353936
2007,Male,10,0.00019281639679857182
2007,Male,15,0.0008445302867239876
2007,Male,20,0.001458291114023725
2007,Male,25,0.001465652973433687
2007,Male,30,0.001528614600084594
2007,Male,35,0.001889636141535651
2007,Male,40,0.002789704880811378
2007,Male,45,0.004259444267095016
2007,Male,50,0.006457603315188011
2007,Male,55,0.009144878027198978
2007,Male,60,0.013239819188680974
2007,Male,65,0.01968201288454994
2007,Male,70,0.030050529568097135
2007,Male,75,0.047540373620180335
2007,Male,80,0.07870175723615483
2008,Female,0,0.00143038904507684
2008,Female,5,0.00011339922978814392
2008,Female,10,0.00012498927633851218
2008,Female,15,0.0003181531987011806
2008,Female,20,0.00045683186180679546
2008,Female,25,0.0005573758876576849
2008,Female,30,0.0007128356253420789
2008,Female,35,0.0010285758318852912
2008,Female,40,0.0016566381117247221
2008,Female,45,0.0026015219906719124
